district,year,crop,season,area,production,yield,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
JALANDHAR,2012,Sesamum,Kharif,300,100,0.333333333,44.08916667,25.59625,7,17,0
JALANDHAR,2001,Moong,Kharif,200,100,0.5,45.6625,26.32708333,7,11,0
JALANDHAR,1999,Moong,Kharif,100,100,1,32.2,27.14458333,7,11,0
JALANDHAR,2000,Moong,Kharif,100,100,1,41.01583333,26.54375,7,11,0
JALANDHAR,2002,Urad,Kharif,100,100,1,37.0775,27.14,7,20,0
JALANDHAR,2002,Moong,Kharif,100,100,1,37.0775,27.14,7,11,0
JALANDHAR,2003,Urad,Kharif,100,100,1,53.6325,25.81208333,7,20,0
JALANDHAR,2004,Urad,Kharif,100,100,1,45.565,26.64166667,7,20,0
JALANDHAR,2005,Urad,Kharif,100,100,1,53.49083333,25.50916667,7,20,0
JALANDHAR,2005,Moong,Kharif,100,100,1,53.49083333,25.50916667,7,11,0
JALANDHAR,2006,Moong,Kharif,100,100,1,63.88833333,26.04791667,7,11,0
JALANDHAR,2006,Groundnut,Kharif,100,100,1,63.88833333,26.04791667,7,5,0
JALANDHAR,2007,Moong,Kharif,100,100,1,50.2,26.05,7,11,0
JALANDHAR,2008,Moong,Kharif,100,100,1,90.14333333,24.945,7,11,0
JALANDHAR,2009,Moong,Kharif,100,100,1,42.17916667,26.33958333,7,11,0
JALANDHAR,2010,Moong,Kharif,100,100,1,62.85666667,26.25416667,7,11,0
JALANDHAR,1998,Masoor,Rabi,100,100,1,32.34416667,26.38291667,7,10,1
JALANDHAR,1998,Linseed,Rabi,100,100,1,32.34416667,26.38291667,7,8,1
JALANDHAR,1999,Linseed,Rabi,100,100,1,32.2,27.14458333,7,8,1
JALANDHAR,2000,Gram,Rabi,100,100,1,41.01583333,26.54375,7,4,1
JALANDHAR,2000,Masoor,Rabi,100,100,1,41.01583333,26.54375,7,10,1
JALANDHAR,2000,Other Rabi Pulses,Rabi,100,100,1,41.01583333,26.54375,7,13,1
JALANDHAR,2001,Gram,Rabi,100,100,1,45.6625,26.32708333,7,4,1
JALANDHAR,2001,Linseed,Rabi,100,100,1,45.6625,26.32708333,7,8,1
JALANDHAR,2002,Gram,Rabi,100,100,1,37.0775,27.14,7,4,1
JALANDHAR,2002,Masoor,Rabi,100,100,1,37.0775,27.14,7,10,1
JALANDHAR,2003,Masoor,Rabi,100,100,1,53.6325,25.81208333,7,10,1
JALANDHAR,2006,Peas & Beans (Pulses),Rabi,100,100,1,63.88833333,26.04791667,7,14,1
JALANDHAR,2006,Linseed,Rabi,100,100,1,63.88833333,26.04791667,7,8,1
JALANDHAR,2008,Peas & Beans (Pulses),Rabi,100,100,1,90.14333333,24.945,7,14,1
JALANDHAR,2009,Peas & Beans (Pulses),Rabi,100,100,1,42.17916667,26.33958333,7,14,1
JALANDHAR,2010,Peas & Beans (Pulses),Rabi,100,100,1,62.85666667,26.25416667,7,14,1
JALANDHAR,2012,Peas & Beans (Pulses),Rabi,100,100,1,44.08916667,25.59625,7,14,1
JALANDHAR,2002,Sesamum,Kharif,600,200,0.333333333,37.0775,27.14,7,17,0
JALANDHAR,2009,Sesamum,Kharif,500,200,0.4,42.17916667,26.33958333,7,17,0
JALANDHAR,2010,Sesamum,Kharif,400,200,0.5,62.85666667,26.25416667,7,17,0
JALANDHAR,2003,Moong,Kharif,300,200,0.666666667,53.6325,25.81208333,7,11,0
JALANDHAR,2004,Moong,Kharif,200,200,1,45.565,26.64166667,7,11,0
JALANDHAR,1998,Peas & Beans (Pulses),Rabi,200,200,1,32.34416667,26.38291667,7,14,1
JALANDHAR,2000,Linseed,Rabi,200,200,1,41.01583333,26.54375,7,8,1
JALANDHAR,1998,Moong,Whole year,300,200,0.666666667,32.34416667,26.38291667,7,11,2
JALANDHAR,2005,Sesamum,Kharif,800,300,0.375,53.49083333,25.50916667,7,17,0
JALANDHAR,2003,Sesamum,Kharif,700,300,0.428571429,53.6325,25.81208333,7,17,0
JALANDHAR,2004,Sesamum,Kharif,700,300,0.428571429,45.565,26.64166667,7,17,0
JALANDHAR,2006,Sesamum,Kharif,600,300,0.5,63.88833333,26.04791667,7,17,0
JALANDHAR,2007,Sesamum,Kharif,600,300,0.5,50.2,26.05,7,17,0
JALANDHAR,2008,Sesamum,Kharif,600,300,0.5,90.14333333,24.945,7,17,0
JALANDHAR,1998,Arhar (Tur),Kharif,400,300,0.75,32.34416667,26.38291667,7,0,0
JALANDHAR,2001,Rapeseed &Mustard,Rabi,200,300,1.5,45.6625,26.32708333,7,15,1
