,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
113,2004,7000,44000,42.83916667,26.97333333,0,18,2
114,2012,4000,283000,43.16083333,25.68208333,0,18,2
115,2009,185000,501000,36.28416667,26.58416667,0,16,0
116,2010,186000,503000,58.83083333,26.36833333,0,16,0
117,1999,8000,530000,26.2825,27.5775,0,18,2
118,2008,183000,532000,78.35166667,25.32708333,0,16,0
119,2012,183000,538000,43.16083333,25.68208333,0,16,0
120,2006,178000,538000,70.41083333,25.94375,0,16,0
121,1998,9000,540000,21.14916667,27.10916667,0,18,2
122,2007,178000,546000,55.90916667,25.94083333,0,16,0
123,2003,10000,570000,54.88166667,25.93083333,0,18,2
124,2000,11000,700000,33.02083333,26.97333333,0,18,2
125,2002,11000,720000,33.74583333,27.36916667,0,18,2
126,2001,11000,750000,45.05583333,26.55125,0,18,2
127,2009,185000,753000,36.28416667,26.58416667,0,21,1
128,2008,187000,757000,78.35166667,25.32708333,0,21,1
129,2006,185000,767000,70.41083333,25.94375,0,21,1
130,2010,189000,810000,58.83083333,26.36833333,0,21,1
131,2007,184000,810000,55.90916667,25.94083333,0,21,1
132,2003,326000,872000,54.88166667,25.93083333,0,16,0
133,2012,188000,875000,43.16083333,25.68208333,0,21,1
134,1998,305000,878000,21.14916667,27.10916667,0,16,0
135,2002,311000,879000,33.74583333,27.36916667,0,16,0
136,2001,319000,958000,45.05583333,26.55125,0,16,0
137,2000,319000,972000,33.02083333,26.97333333,0,16,0
138,1999,319000,991000,26.2825,27.5775,0,16,0
139,2005,345000,1003000,52.91583333,25.56041667,0,16,0
140,2004,334000,1034000,42.83916667,26.97333333,0,16,0
141,2002,356000,1513000,33.74583333,27.36916667,0,21,1
142,2003,358000,1538000,54.88166667,25.93083333,0,21,1
143,1998,354000,1567000,21.14916667,27.10916667,0,21,1
144,2004,372000,1591000,42.83916667,26.97333333,0,21,1
145,2005,371000,1643000,52.91583333,25.56041667,0,21,1
146,2000,361000,1690000,33.02083333,26.97333333,0,21,1
147,2001,363000,1700000,45.05583333,26.55125,0,21,1
148,1999,358000,1738000,26.2825,27.5775,0,21,1
149,2000,100,10,20.26666667,27.59791667,1,17,0
150,2003,200,100,37.2525,26.53791667,1,17,0
151,2004,200,100,27.58,27.69083333,1,5,0
152,2004,200,100,27.58,27.69083333,1,17,0
153,2005,200,100,34.2425,26.375,1,17,0
154,1999,100,100,16.4825,28.14166667,1,0,0
155,2000,100,100,20.26666667,27.59791667,1,12,0
156,2001,100,100,30.40833333,27.29583333,1,12,0
157,2001,100,100,30.40833333,27.29583333,1,5,0
158,2003,100,100,37.2525,26.53791667,1,0,0
159,2003,100,100,37.2525,26.53791667,1,12,0
160,2004,100,100,27.58,27.69083333,1,12,0
161,2006,100,100,32.12666667,27.20625,1,12,0
162,2009,100,100,28.33083333,27.18125,1,5,0
163,2010,100,100,42.1275,27.01166667,1,5,0
164,2001,400,200,30.40833333,27.29583333,1,17,0
165,2003,300,200,37.2525,26.53791667,1,5,0
166,2008,300,200,49.255,26.26333333,1,5,0
167,2005,200,200,34.2425,26.375,1,5,0
168,2006,200,200,32.12666667,27.20625,1,5,0
169,2007,200,200,34.32166667,27.13208333,1,5,0
170,2007,200,200,34.32166667,27.13208333,1,4,1
171,2008,200,200,49.255,26.26333333,1,4,1
172,2012,200,200,32.535,26.11958333,1,4,1
173,2012,200,200,32.535,26.11958333,1,6,2
174,2012,400,300,32.535,26.11958333,1,11,0
