-BEGIN HEADER-,,,,,,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums ,,,,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1998 through 12/31/2012 ,,,,,,,,,,,,,,,,,,,
Location: Latitude  30.6923   Longitude 74.7757 ,,,,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 204.83 meters   Site = na ,,,,,,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,,,,,,
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. ,,,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,,,,
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Year,Avg Rainfall,Avg Temp
30.69231,74.77571,PRECTOT,1998,0.38,31.54,9.28,7.49,1.84,33.37,85.12,43.67,43.04,24.87,0.02,0,280.62,1998,23.385,27.16416667
30.69231,74.77571,PRECTOT,1999,31.45,2.36,1.45,0.27,8.18,44.11,42.87,74.34,30.67,0.55,0.96,0,237.21,1999,19.7675,27.97625
30.69231,74.77571,PRECTOT,2000,27.32,15.22,1.32,0.44,11.92,55.86,96.86,35.1,24.34,0.05,2.11,3.55,274.09,2000,22.84083333,27.435
30.69231,74.77571,PRECTOT,2001,6.66,3.15,13.05,13.02,30.62,68.32,168.04,57.53,21.29,0.16,0.26,6.32,388.41,2001,32.3675,27.11625
30.69231,74.77571,PRECTOT,2002,1.21,13.78,11.2,3.4,21.49,19.76,36.49,80.77,65.63,1.62,0.17,8.77,264.29,2002,22.02416667,27.93333333
30.69231,74.77571,PRECTOT,2003,15.8,58.45,14.06,2.4,7.75,41.09,161.73,88.39,45.71,0.19,5.15,9.07,449.78,2003,37.48166667,26.46666667
30.69231,74.77571,PRECTOT,2004,25.44,6.36,0,21.56,26.78,66.4,78.44,106.27,6.26,19.05,0.82,16.72,374.11,2004,31.17583333,27.50583333
30.69231,74.77571,PRECTOT,2005,31.09,47.74,56.01,9.69,12.69,63.77,120.27,49.96,84.48,1.56,3.34,0,480.61,2005,40.05083333,26.1
30.69231,74.77571,PRECTOT,2006,8.62,2.97,38.46,1.31,17.85,88.11,144.22,69.93,95.46,26.4,7.58,16.36,517.28,2006,43.10666667,26.76416667
30.69231,74.77571,PRECTOT,2007,0.59,79.39,36.83,7.61,14.6,109.82,51.94,70.8,55.67,1.04,5.31,3.26,436.86,2007,36.405,26.8725
30.69231,74.77571,PRECTOT,2008,15.2,4.48,0.04,33.04,40.79,146.45,130.23,233.21,61.31,6.83,1.16,5.56,678.3,2008,56.525,25.96291667
30.69231,74.77571,PRECTOT,2009,19.35,19.74,33.4,16.79,16.17,18.99,84.13,90.23,53.57,1.16,4.4,0.01,357.93,2009,29.8275,27.00041667
30.69231,74.77571,PRECTOT,2010,3.88,9.78,1.89,0.91,5.63,44.66,170.89,135.9,113.55,2.14,0.07,14.46,503.77,2010,41.98083333,26.90458333
30.69231,74.77571,PRECTOT,2011,0.86,24.56,4.64,24.59,17.97,85.67,79.74,174.48,130.65,0.16,1.52,1.03,545.87,2011,45.48916667,26.09208333
30.69231,74.77571,PRECTOT,2012,17.73,3.52,2.9,29.58,2.09,10.48,69.35,95.13,146.49,11.18,0.54,12.3,401.29,2012,33.44083333,26.00541667
30.69231,74.77571,T2M_MAX,1998,21.05,24.24,29.8,39.16,44.33,43.35,41.32,41.35,38.98,35.21,31.06,26.42,34.74,,,
30.69231,74.77571,T2M_MAX,1999,20.99,26.13,33.45,41.43,43.6,43.97,42.88,41.34,41.12,37.24,31.24,25.99,35.82,,,
30.69231,74.77571,T2M_MAX,2000,22.56,22.78,31.55,41.26,45.07,43.1,40.13,41.14,40.47,38,30.06,25.58,35.17,,,
30.69231,74.77571,T2M_MAX,2001,22.35,27.29,32.92,37.73,44.08,41.71,37.89,39.03,39.7,37.03,30.64,24.65,34.61,,,
30.69231,74.77571,T2M_MAX,2002,22.45,25.37,33.53,40.34,45.53,45.39,44.6,41.12,37.37,35.62,29.94,24.82,35.56,,,
30.69231,74.77571,T2M_MAX,2003,22.21,24.38,30.31,39.34,42.6,44.84,37.84,37.76,37.67,34.97,28.47,23.62,33.7,,,
30.69231,74.77571,T2M_MAX,2004,20.93,27.1,35.99,40.09,42.7,42.56,42.39,38.12,40.09,33.14,29.94,24.98,34.84,,,
30.69231,74.77571,T2M_MAX,2005,19.9,21.56,29.61,36.17,40.7,44.79,38.73,41.07,37.43,35.16,28.94,23.65,33.2,,,
30.69231,74.77571,T2M_MAX,2006,21.39,30.27,30.27,38.87,44.63,41.22,39.31,37.88,35.67,34.45,27.94,21.93,33.66,,,
30.69231,74.77571,T2M_MAX,2007,22.04,23.38,29.08,40.23,42.9,42.82,40.81,39.55,38.04,35.35,29.98,22.41,33.93,,,
30.69231,74.77571,T2M_MAX,2008,19.84,24.83,35.22,36.68,41.18,39.95,38.54,34.85,35.43,34.44,29.63,24.95,32.98,,,
30.69231,74.77571,T2M_MAX,2009,22.69,25.99,32.4,37.23,43.09,44.28,41.68,40.34,37.3,34.79,27.78,23.7,34.31,,,
30.69231,74.77571,T2M_MAX,2010,22.78,25.99,35.84,41.4,44.08,43.14,38.79,36.1,34.69,33.82,28.67,22.02,33.98,,,
30.69231,74.77571,T2M_MAX,2011,20.69,23.97,32.71,36.08,43.84,42.39,39.65,36.04,33.45,33.55,29.22,23.21,32.95,,,
30.69231,74.77571,T2M_MAX,2012,19.77,23.26,31.54,36.17,42.2,45.1,42.22,38.48,35.17,32.87,27.76,23.27,33.17,,,
30.69231,74.77571,T2M_MIN,1998,5.86,8.91,12.51,21.66,26.9,29.36,30.41,29.76,26.86,19.63,14.33,9.48,19.69,,,
30.69231,74.77571,T2M_MIN,1999,7.09,10.2,14.82,21.34,27.23,30.03,31.25,28.96,27.04,19.7,14.29,10.1,20.22,,,
