,district,district_encoded
0,AMRITSAR,0
1,BATHINDA,1
2,FARIDKOT,2
3,FATEHGARH SAHIB,3
4,FIROZPUR,4
5,GURDASPUR,5
6,HOSHIARPUR,6
7,JALANDHAR,7
8,KAPURTHALA,8
9,LUDHIANA,9
10,MANSA,10
11,MOGA,11
12,MUKATSAR,12
13,NAWANSHAHR,13
14,PATIALA,14
15,ROPAR(RUPNAGAR),15
16,SANGRUR,16
